Station;Kieler Straße;Kieler Straße;Kieler Straße;Kieler Straße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid (4m);Stickstoffmonoxid;Stickstoffmonoxid (4m)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

31.05.2022 10:00;56;58;42;36
31.05.2022 11:00;59;59;47;39
31.05.2022 12:00;49;45;38;28
31.05.2022 13:00;47;43;34;26
31.05.2022 14:00;38;40;27;25
31.05.2022 15:00;40;39;24;19
31.05.2022 16:00;47;46;33;26
31.05.2022 17:00;63;58;36;25
31.05.2022 18:00;62;60;36;28
31.05.2022 19:00;50;48;19;14
31.05.2022 20:00;56;55;22;17
31.05.2022 21:00;53;55;23;22
31.05.2022 22:00;38;38;9;7
31.05.2022 23:00;53;56;21;22
01.06.2022 00:00;46;47;14;13
01.06.2022 01:00;29;30;5;4
01.06.2022 02:00;35;35;5;4
01.06.2022 03:00;31;31;6;5
01.06.2022 04:00;36;37;11;10
01.06.2022 05:00;44;44;24;22
01.06.2022 06:00;46;44;35;27
01.06.2022 07:00;38;36;27;20
01.06.2022 08:00;59;62;55;57
01.06.2022 09:00;61;62;77;71
01.06.2022 10:00;77;77;82;70
01.06.2022 11:00;60;65;37;41
01.06.2022 12:00;;;;
01.06.2022 13:00;53;57;31;31
01.06.2022 14:00;40;40;22;18
01.06.2022 15:00;50;50;26;23
01.06.2022 16:00;44;48;31;31
01.06.2022 17:00;41;43;17;17
01.06.2022 18:00;52;58;26;27
01.06.2022 19:00;52;53;34;24
01.06.2022 20:00;39;42;15;17
01.06.2022 21:00;38;40;12;12
01.06.2022 22:00;37;37;14;13
01.06.2022 23:00;28;29;11;9
02.06.2022 00:00;16;16;2;2
02.06.2022 01:00;14;16;2;2
02.06.2022 02:00;11;13;2;2
02.06.2022 03:00;18;19;2;2
02.06.2022 04:00;26;26;7;8
02.06.2022 05:00;37;37;20;18
02.06.2022 06:00;46;49;31;31
