Station;Stresemannstraße;Stresemannstraße;Stresemannstraße;Stresemannstraße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid (4m);Stickstoffmonoxid;Stickstoffmonoxid (4m)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;29;27;11;7
23.03.2023 12:00;23;21;12;6
23.03.2023 13:00;23;21;10;5
23.03.2023 14:00;31;31;11;7
23.03.2023 15:00;27;28;9;8
23.03.2023 16:00;36;30;17;7
23.03.2023 17:00;44;38;20;9
23.03.2023 18:00;41;34;19;8
23.03.2023 19:00;44;44;6;4
23.03.2023 20:00;51;51;2;2
23.03.2023 21:00;23;23;2;2
23.03.2023 22:00;27;27;2;2
23.03.2023 23:00;37;37;2;2
24.03.2023 00:00;30;30;2;2
24.03.2023 01:00;33;32;2;2
24.03.2023 02:00;27;28;2;2
24.03.2023 03:00;20;21;2;2
24.03.2023 04:00;17;18;2;2
24.03.2023 05:00;21;21;2;2
24.03.2023 06:00;17;17;2;2
24.03.2023 07:00;22;23;2;2
24.03.2023 08:00;29;31;7;5
24.03.2023 09:00;27;21;15;2
24.03.2023 10:00;27;16;21;2
24.03.2023 11:00;19;13;10;2
