Station;Bramfeld;Bramfeld;Bramfeld
Messkomponente;Ozon;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;69;9;2
23.03.2023 12:00;75;6;2
23.03.2023 13:00;77;5;2
23.03.2023 14:00;67;11;2
23.03.2023 15:00;68;12;2
23.03.2023 16:00;81;8;2
23.03.2023 17:00;75;12;2
23.03.2023 18:00;66;16;2
23.03.2023 19:00;50;25;2
23.03.2023 20:00;46;32;2
23.03.2023 21:00;32;34;5
23.03.2023 22:00;43;26;2
23.03.2023 23:00;44;22;2
24.03.2023 00:00;43;19;2
24.03.2023 01:00;42;16;2
24.03.2023 02:00;46;11;2
24.03.2023 03:00;51;9;2
24.03.2023 04:00;53;7;2
24.03.2023 05:00;54;8;2
24.03.2023 06:00;55;10;2
24.03.2023 07:00;52;14;2
24.03.2023 08:00;52;14;2
24.03.2023 09:00;63;9;2
24.03.2023 10:00;;;
24.03.2023 11:00;77;2;2
