Station;Neugraben;Neugraben;Neugraben
Messkomponente;Ozon;Stickstoffdioxid;Stickstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;77;;
23.03.2023 12:00;75;;
23.03.2023 13:00;72;5;2
23.03.2023 14:00;71;6;2
23.03.2023 15:00;77;4;2
23.03.2023 16:00;87;5;2
23.03.2023 17:00;79;7;2
23.03.2023 18:00;85;5;2
23.03.2023 19:00;67;13;2
23.03.2023 20:00;71;8;2
23.03.2023 21:00;72;6;2
23.03.2023 22:00;69;7;2
23.03.2023 23:00;61;7;2
24.03.2023 00:00;57;7;2
24.03.2023 01:00;58;5;2
24.03.2023 02:00;62;4;2
24.03.2023 03:00;59;4;2
24.03.2023 04:00;59;2;2
24.03.2023 05:00;65;2;2
24.03.2023 06:00;65;2;2
24.03.2023 07:00;64;2;2
24.03.2023 08:00;63;2;2
24.03.2023 09:00;72;2;2
24.03.2023 10:00;80;2;2
24.03.2023 11:00;82;2;2
