Station;Habichtstraße;Habichtstraße;Habichtstraße;Habichtstraße;Habichtstraße
Messkomponente;Stickstoffdioxid;Stickstoffdioxid (4m);Stickstoffmonoxid;Stickstoffmonoxid (4m);Kohlenstoffmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

23.03.2023 11:00;43;37;38;28;0.30
23.03.2023 12:00;38;34;35;26;0.27
23.03.2023 13:00;51;45;58;37;0.38
23.03.2023 14:00;69;68;68;63;0.49
23.03.2023 15:00;65;60;64;52;0.50
23.03.2023 16:00;72;61;79;51;0.40
23.03.2023 17:00;85;76;98;66;0.56
23.03.2023 18:00;90;82;90;68;0.56
23.03.2023 19:00;97;90;79;64;0.62
23.03.2023 20:00;71;64;43;32;0.40
23.03.2023 21:00;61;55;32;24;0.42
23.03.2023 22:00;49;42;29;20;0.40
23.03.2023 23:00;36;32;16;11;0.32
24.03.2023 00:00;27;24;11;7;0.23
24.03.2023 01:00;23;21;9;4;0.10
24.03.2023 02:00;16;15;2;2;0.10
24.03.2023 03:00;12;12;2;2;0.10
24.03.2023 04:00;13;13;2;2;0.10
24.03.2023 05:00;15;14;6;4;0.10
24.03.2023 06:00;30;27;21;17;0.23
24.03.2023 07:00;57;50;55;43;0.33
24.03.2023 08:00;63;59;67;52;0.49
24.03.2023 09:00;;;;;
24.03.2023 10:00;28;26;20;14;0.21
24.03.2023 11:00;29;26;26;17;
